ID,Healthcare Name,Street Address,City,Zipcode,State,Associated Health System,Funding_Type,CHNA_Year,Service_Area_Type,Service_Area_Counties,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6810040,Bozeman Health,915 Highland Boulevard,Bozeman,59715-6902,MT,N/A,Public,2020,"Combination of counties, zip codes, and places","Gallatin, Madison, Park","59751, 59754, 59749,59735, 59747,59755, 59740, 59745,59710, 59729, 59720, 59716, 59745, 59760, 59752, 59741, 59718, 59730, 59758, 59714, 59715, 59086, 59018, 59682, 59047, 59027, 59065, 59030, 59020","Bozeman, Gallatin City, Three Forks , West Yellowstone","Access to Healthcare Services; Cancer; Dementias, Including Alzheimer's Disease; Diabetes; Heart Disease & Stroke; Injury & Violence; Mental Health; Nutrition, Physical Activity, & Weight; Respiratory Diseases; Substance Abuse; Tobacco Use","Mental Health; Access to Healthcare Services; Nutrition, Physical Activity & Weight; Substance Abuse; Heart Disease & Stroke; Diabetes; Cancer; Injury & Violence; Tobacco Use; Potentially Disabling Conditions; Respiratory Diseases",https://res.cloudinary.com/dpmykpsih/image/upload/bozeman-health-site-321/media/1432/2017_prc_chna_report_bhdh.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/bozeman-health-site-321/media/1432/2017_prc_chna_report_bhdh.pdf,N/A
6810530,Broadwater Health Center,110 North Oak Street,Townsend,59644-2306,MT,N/A,Public,2019,List of Counties,"Townsend, Totston, Radersburg, Winston",n/a,n/a,"Access to healthcare services, wellness and prevention, behavioral health, chronic disease","Access to Healthcare, Behavioral Health, Community outreach and engagement",https://www.billingsclinic.com/app/files/public/423e70c2-8036-4066-a7e1-1cc06edf1519/BHC_%20CHNA%20Report_2019.pdf,https://www.billingsclinic.com/app/files/public/6fa8cc66-5e41-408a-95dc-8b784056eb41/Billings-Clinic-Broadwater_CHNA_Implementation-Plan-Report_2019-2022.pdf,n/a
6810390,Cabinet Peaks Medical Center,209 Health Park Drive,Libby,59923-2130,MT,QHR,Non-profit,2023,"Combination of counties, zip codes, and places",Lincoln ,"59923, 59935, 59917, 59918, 59930, 59933, 59934","Libby, Troy, Eureka, Fortine, Rexford, Stryker, Trego","Access to care (i.e. mental health and specialty services), Social determinants of health (SDOH), Healthy lifestyles","Alcohol/drug use; Asbestos related disease; Mental health (Depression/anxiety/etc.); Overweight/obesity; Respiratory issues/illness; Cancer; Work/economic stress; Heart disease; Lack of access to care (health, dental, mental, etc.); Tobacco use (cigarettes/cigars, vaping, smokeless); Diabetes; Housing/homelessness; Lack of exercise; Domestic violence; Alzheimer's/dementia; Suicide; Child abuse/neglect; Hunger; Social isolation/loneliness; Recreation related accidents/injuries; Stroke; Trauma/Adverse Childhood Experiences (ACES); Motor vehicle accidents; work related accidents/injuries",https://www.cabinetpeaks.org/docs/Libby_2023_CHNA_Report_FINAL.pdf,https://www.cabinetpeaks.org/docs/Lincoln_County_2023_Implementation_Plan_Report_FINAL_DRAFT_%28002%29.pdf,paula.collins@cabinetpeaks.org
6810380,Central Montana Medical Center,408 Wendell Avenue,Lewistown,59457-2261,MT,,Non-profit,2022,List of Counties,Fergus ,N/A,N/A,"Nutrition and healthy lifestyle education, More local providers, Winter health and wellness activities and programs, Cancer care and support, More outreach and awareness of local services, Mental and behavioral health resources, Naturopathic services, Substance abuse services, Affordable senior housing options, Increased workforce for at home care","Mental and behavioral health, Access to healthcare services",https://www.cmmc.health/media/CMMC_2022-CHNA-Report.pdf,https://www.cmmc.health/media/ImplementationPlanReport_202218.pdf,N/A
6810445,Clark Fork Valley Hospital,10 Kruger Road,Plains,59859,MT,,Non-profit,2020,Combination of counties and places,Sanders ,N/A,N/A ,"Childcare, daycare, In-home personal care services and respite care, Licensed addiction counselors, Additional transportation, Assisted living, Uef","Substance abuse and mental health, Improving access to care, Managing and preventing chronic disease",https://res.cloudinary.com/dpmykpsih/image/upload/clark-fork-site-325/media/d29142d0383542e5b44b25c857c3619a/2020-chna-report-cfvh-final.pdf,https://res.cloudinary.com/dpmykpsih/raw/upload/clark-fork-site-325/media/r/1bcb4c5492324ae6b1d182ebf68a4cbc/2020-chna-implementation-plan-cfvh-draft.pdf,N/A
6810010,Community Hospital of Anaconda,401 West Pennsylvania Street,Anaconda,59711,MT,,Non-profit,2019,List of Counties,Anaconda-Deer Lodge ,N/A,N/A,"Alcohol/Substance Abuse, Mental Health, Cancer, Suicide, Heart Disease, Depression/anxiety, Tobacco use, diabetes","Alcohol/Substance Abuse, Mental Health, Cancer",https://www.communityhospitalofanaconda.org/docs/CHA_CHNA_Final_Report_2019.pdf,https://www.communityhospitalofanaconda.org/docs/CHA_Draft_Implementation_Plan_Report_Final_Edits_%28002%29.pdf,N/A
6810415,Community Medical Center,2827 Fort Missoula Road,Missoula,59804-7408,MT,LifePoint Health,Unable to Find,N/A unable to find,,,,,,,,,
6810120,Crown/Northern Cheyenne Hospital,10110 South 7650 East,Crow Agency,59022=0009,MT,U. S. Indian Health Service,Unable to Find,N/A unable to find,,,,,,,,,
6810150,Dahl Memorial Healthcare Association,215 Sandy Street,Ekalaka,59324,MT,,Non-profit,2020,"Combination of counties, zip codes, and places",Carter,"59324, 59313, 59332, 59354, 59311, 57724, 59353","Ekalaka, Baker, Hammond, Willard, Alzada, Camp Crook, Wibaux","Cancer, Alcohol/Substance abuse, Heart Disease, Overweight/obesity, Diabetes, Geographic isolation, Tobacco use, Depression/anxiety, Lack of dental care","Cancer, Alcohol/Substance abuse, Heart Disease",https://drive.google.com/drive/u/0/folders/1DHR-ZvlwUmi5YHAOZ5cDvSNvTKyOGnoX,https://drive.google.com/drive/u/0/folders/1DHR-ZvlwUmi5YHAOZ5cDvSNvTKyOGnoX,rtooke@dmhainc.com
6810505,Daniels Memorial Healthcare Center,105 Fifth Avenue East,Scobey,59263,MT,,Non-profit,2022,"Combination of counties, zip codes, and places",Daniels ,"59263, 59222, 59254, 59255, 59260, 59201, 59276, 59250, 59253, 59248, 59256","Scobey, Flaxville, Plentywood, Poplar, Richland, Wolf Point, Whitetail, Opheim, Peerless, Nashau, Raymond","Cancer; Alcohol abuse/substance abuse; Mental health issues; Alzheimer's/dementia; Heart disease; Depression/anxiety; Overweight/obesity; Diabetes; Tobacco use (vaping, e-cigarettes, smokeless); Work/economic stress; Social isolation/loneliness; Stroke; Lack of access to healthcare; Work related accidents/injuries; Lack of exercise; Lack of dental care; Suicide; Child abuse/neglect; Domestic violence; Motor vehicle accidents; Hunger; Recreation related accidents/injuries","Access to healthcare services, Health and wellness, Mental health",https://www.danielsmemorialhealthcare.org/wp-content/uploads/2022/11/2022-Community-Healthcare-Needs-Assessment-Report.pdf,https://www.danielsmemorialhealthcare.org/wp-content/uploads/2022/11/2022-Community-Healthcare-Needs-Assessment-Report.pdf,JBraut@dmha.net 
6810129,Deer Lodge Medical Center,1100 Hollenbeck Lane,Deer Lodge,59722-2317,MT,,Non-profit,2022,Combination of zip codes and places,N/A,"59722, 59701, 59711, 59731, 59732, 59733, 59713, 59728","Deer Lodge, Butte, Anaconda, Garrison, Drummond, Gold Creek, Avon, Elliston","Alcohol/substance abuse; Overweight/obesity; Mental health issues; Depression/anxiety; Poverty; Cancer; Tobacco use (cigarettes, vaping, smokeless); Suicide; Work/economic stress; Diabetes; Child abuse/neglect; Heart disease; Respiratory issues/illness; Domestic violence; Lack of exercise; Lack of access to healthcare; Social isolation/loneliness; Motor vehicle accidents; Trauma/Adverse Childhood Experiences (ACES); Hunger; Lack of dental care;  Alzheimer's/dementia; Recreation related accidents/injuries; Stroke; Work related accidents/injuries","Health and wellness, Access to healthcare services",https://www.dlmed.org/documents/DLMC_2022_CHNA_Report-FINAL.pdf,https://www.dlmed.org/documents/DLMC_2022_CHNA_Report-FINAL.pdf,N/A
6810013,Fallon Medical Complex,202 South 4th Street West,Baker,59313-9156,MT,,Non-profit,2022,Combination of counties and zip codes,"Fallon, Carter, Wibaux, Custer, Adjacent North Dakota counties of Slope, Golden Valley, Bowman","59313, 59344, 59353, 59324, 59643, 59336",N/A,"Primary care providers; Home health and hospice; Outpatient speech therapy; Respiratory therapy; Healthcare workforce recruitment and retention; Cardiac rehabilitation; Childcare/daycare services; Increasing locally grown produce; More advertising and awareness of local services; Mental and behavioral health services and resources (including alcohol and substance abuse prevention and resources); Better access to enrollment in resources like Medicaid and Supplemental; Nutrition Assistance Program (SNAP) benefits; Low-income housing; Preventive health education (healthy eating, active living, smoking cessation, weight management, etc.); Community center for recreational and health education opportunities","Mental and behavioral health, Access to healthcare services, Chronic care prevention and management",https://storage.googleapis.com/cardsetter-tmp-user-assets/fallon-medical/community-health-needs-assessment/FMC_2022_CHNA.pdf,https://storage.googleapis.com/cardsetter-tmp-user-assets/fallon-medical/implementation-plan/FMC%20CHNA%20Implementation%20Plan%202022.pdf,jkmcwill@fallonmedical.org
6810280,Fort Belknap Service Unit,669 Agency Main Street,Harlem,59526-9455,MT,U. S. Indian Health Service,Unable to Find,N/A unable to find,,,,,,,,,
6810190,Frances Mahon Deaconess Hospital,621 Third Street South,Glasgow,59230-2699,MT,,Non-profit,2022,List of Counties,"Daniels, Phillips, Roosevelt, Valley",N/A,N/A,"mental health, substance abuse, tobacco use, nutrition, physical activity & weight, cancer, diabetes, infant health & family planning, heart disease & stroke, oral health, sexual health, access to health care services, injury & violence, respiratory disease (including COVID-19)","mental health, substance abuse, tobacco use, nutrition, physical activity & weight, cancer, diabetes, infant health & family planning, heart disease & stroke, oral health, sexual health, access to health care services, injury & violence, respiratory disease (including COVID-19)",https://www.fmdh.org/documents/content/2022-PRC-CHNA-Report-Frances-Mahon-Deaconess-Hospital.pdf,https://www.fmdh.org/documents/content/2022-Implementation-Strategy.pdf,N/A
6810345,Garfield County Health Center,332 Leavitt Avenue,Jordan,59337,MT,,Non-profit,N/A unable to find,,,,,,,,,
6810220,Glendive Medical Center,202 Prospect Drive,Glendive,59330-1999,MT,N/A,Non-profit,2019,"Combination of counties, zip codes, and places",Dawson,"59330, 59353, 59215, 59349, 59315, 59326, 59262, 58621, 59339, 59259, 59313, 59270, 59201","Glendive, Wibaux, Circle, Terry, Bloomfield, Fallon, Savage, Beach, Lindsay, Richey, Baker, Sidney, Wolf Point","Alcohol abuse/substance abuse; Cancer; Overweight/obesity; Mental health issues; Depression/anxiety; Heart disease; Tobacco use (cigarettes, vaping/e-cigarettes, smokeless); Diabetes; Lack of access to healthcare; Alzheimer's/dementia; Suicide; Lack of exercise; Social isolation/loneliness; Child abuse/neglect; Domestic violence; Stroke; Work related accidents/injuries; Lack of dental care; Motor vehicle accidents; Recreation related accidents/injuries; Hunger","Mental and behavioral health, Healthy lifestyles, Access to healthcare services",https://www.gmc.org/documents/community%20reports/Community-Needs-Assesment.pdf,https://www.gmc.org/documents/community%20reports/Community-Needs-Assesment.pdf,marketing@gmc.org
6810440,Granite County Medical Center,310 Sansome Street,Philipsburg,59858-0729,MT,Providence St. Joseph Health,Non-profit,2019,"Combination of counties, zip codes, and places",Granite,"59858, 59711, 59837, 59832 ","Philipsburg, Anaconda, Hall, Drummond","Alcohol abuse/substance abuse, Cancer, Tobacco use, Mental health issues, Overweight/obesity, Depression/anxiety, Lack of access to healthcare, Alzheimer's/dementia, Social isolation/loneliness, Suicide, Heart disease, Diabetes, Lack of dental care, Lack of exercise, Work related accidents/injuries, Chronic pain, Recreation related","Access to Healthcare Services, Wellness and Prevention, Behavioral Health, Injury and Violence, Chronic Disease",https://www.granitecountyhospital.com/_files/ugd/d13a14_790faaeb0fe749d893d9383b8c92a71b.pdf,https://www.granitecountyhospital.com/_files/ugd/d13a14_790faaeb0fe749d893d9383b8c92a71b.pdf,N/A
6810008,Great Falls Clinic Hospital,3010 15th Avenue South,Great Falls,59405-5240,MT,,Non-profit,2019,Combination of counties and zip codes,Cascade,"59401,59402, 59404, 59405, 59412, 59414, 59421, 59443, 59463, 59465, 59472, 59480, 59483, 59487",N/A,"accidents/injuries, Child abuse/neglect, Domestic violence, Stroke, Motor vehicle accidents, Hunger","substance abuse prevention, healthy weight, access to care, preventing child abuse & neglect",https://mthcf.org/wp-content/uploads/2017/04/20190618-Cascade-CHNA_Final_v1.pdf,N/A,lacey.hallett@uwccmt.org
6810410,Holy Rosary Healthcare,2600 Wilson Street,Miles City,59301-5094,MT,SCL Health,Non-profit,2020,Combination of zip codes and places,N/A,"59301, 59312, 59349, 59326, 59344, 59351, 59336, 59338, 59345","Miles City, Terry, Baker, Fallon, Plevna, Ismay, Powderville, Voldborg, Kinsey",N/A,"Behavioral health, Chronic Diseases",https://www.sclhealth.org/-/media/files/care-sites/holy-rosary/about/community-benefit/hrh-2020-final-chna-report.pdf?rev=197f05214e734f39964488a4efd29b35&hash=EAD44C3EFF34C4DD8A4A4269E4DE8642,N/A,N/A
6810007,Kalispell Regional Healthcare,310 Sunnyview Lane,Kalispell,59901-3129,MT,QHR,Non-profit,2021,List of Counties,Flathead,N/A,N/A,"Acess to Healthcare, Cancer, Diabetes, Heart Disease and Stroke, Infant Health and Family Planning, I njury and Violence, Mental Health, Nutrition/Physical Activity & Weight, Oral Health, Potential Disabling Conditions, Respiratory Disease, Substance Abuse","Mental Health, Substance Abuse, Nutrition/Physical Activity, & Weight, Heart Disease & Stroke, Injury and Violence, Potenial Disabling Conditions, Oral Health, Access to Healthcare, Infant Health and Family Planning, Respiratory Diseases",https://mthcf.org/wp-content/uploads/2021-PRC-CHNA-Report-Flathead-County-MT.pdf,https://flatheadhealth.org/wp-content/uploads/2019/10/CHIP-2020-to-2022-draft-10.9.19.pdf,N/A
6810085,Liberty Medical Center,315 West Madison Avenue,Chester,59522,MT,,Non-profit,2021,"Combination of counties, zip codes, and places",Liberty ,"59522, 59531, 59540, 59530, 59528, 59525, 59461, 59456, 59545, 59444","Chester, Joplin, Rudyard, Inverness, Hingham, Gildford, Lothair, Ledger, Whitlash, Galata","alcohol/substance abuse, cancer, overweight/obesity, heart disease, mental heal issues, social isolation/lonlines","access to healthcare and resources, enhance outreach and education efforts, access to behavioral health services",https://drive.google.com/drive/folders/18U8HJj7gh4yuHw0ATSN_jrW5hBMSGCQ2,https://drive.google.com/drive/folders/18U8HJj7gh4yuHw0ATSN_jrW5hBMSGCQ2,N/A
6810395,Livingston HealthCare,320 Alpenglow Lane,Livingston,59047-8506,MT,,Non-profit,2019,List of Counties,Park,N/A,N/A,"Access to health care services, cancer, heart disease and stroke, infant health and family planning, injury and violence, mental health, nutrition, physical activity, and weight, oral health,  respiratory disease, substance abuse","behavioral health, community wellness, acess to care",https://www.livingstonhealthcare.org/documents/2019-PRC-CHNA-Report-Park-County-MT_FINAL.pdf,https://www.livingstonhealthcare.org/documents/CHNA-Implementation-Plan_2019.pdf,N/A
6810155,Madison Valley Medical Center,305 North Main Street,Ennis,59729-8001,MT,,Non-profit,2020,Combination of zip codes and places,N/A,"59729, 59740, 59720, 59755, 59735, 59758, 59710, 59747, 59745","Ennis, McAllister, Cameron, Virginia City, Harrison, West Yellowstone, Alder, Pony, Norris","Alcohol abuse; Substance abuse; Cancer; Overweight/obesity; Mental health issues; Tobacco use (cigarettes/cigars, vaping, smokeless); Emergency Medical Services; Depression/anxiety; Work/economic stress; Social isolation/loneliness; Lack of exercise; Heart disease; Motor vehicle accidents; Alzheimer's/dementia; Lack of access to healthcare; Recreation related accidents/injuries; Diabetes; Lack of dental care; Domestic violence; Stroke; Child abuse/neglect; Hunger; Respiratory issues/illness; Work related accidents/injuries; Suicide; Other (Covid-19, cardiac issues, and food insecurity)","Access to healthcare services; Good jobs and a healthy economy; Affordable housing; Healthy behaviors and lifestyles; Strong family life; Good schools; Low crime/safe neighborhoods; Access to childcare/after school programs; Access to healthy foods; Religious or spiritual values; Clean environment; Community involvement; Tolerance for diversity; Parks and recreation; Low level of domestic violence; Transportation services; Low death and disease rates; Arts and cultural events; Other (food education, food, and housing affordability)",https://www.mvmedcenter.org/sites/default/files/ennis_2020_final_report.pdf,https://www.mvmedcenter.org/sites/default/files/ennis_2020_final_report.pdf,baileyg@mvmedcenter.org
6810260,Marcus Daly Memorial Hospital,1200 Westwood Drive,Hamilton,59840-2345,MT,,Non-profit,2021,"Combination of counties, zip codes, and places","Ravalli, Bitterroot Valley","59840, 59870, 59828, 59875, 59829, 59833, 59841, 59827, 59871","Hamilton, Darby, Pinesdale, Stevensville, Conner, Corvallis, Florence, Sula and Victor","Substance abuse, Mental health,  Transportation, Chronic and communicable diseases, Access to healthcare, Health education","Substance abuse, Mental health,  Transportation, Chronic and communicable diseases, Access to healthcare, Health education",https://res.cloudinary.com/dpmykpsih/image/upload/marcus-daly-site-390/media/445e46002075425a9f319d73cc5d2067/2021-cna-report.pdf,https://res.cloudinary.com/dpmykpsih/image/upload/marcus-daly-site-390/media/413393d159fa4662a85cab984d9de8c7/2021-cna-implementation-plan.pdf,N/A
6819070,Marias Medical Center,640 Park Drive,Shelby,59474-1663,MT,QHR,Non-profit,N/A unable to find,,,,,,,,,
6819015,McCone County Health Center,605 Sullivan Avenue,Circle,59215,MT,,Non-profit,2020,"Combination of counties, zip codes, and places",McCone ,"59215, 59259, 59214, 59274, 59330, 59339, 59243, 59262, 59315","Circle, Richey, Brockway, Vida, Glendive, Lindsay, Lambert, Savage, Bloomfield","Cancer, Alcohol Abuse, Obesity, Heart Disease, Diabetes, Lack of Access to Healthcare, Mental Health","Access to Healthcare Services, Mental Health, Health Wellness and Prevention",https://mcconehealth.org/wp-content/uploads/2020/06/Community-health-needs-assessment-2020.pdf,https://mcconehealth.org/wp-content/uploads/2023/10/Implementation-Plan-Report-FINAL-_20239.pdf,  nrosaaen@mcconehealth.org
6819080,Mineral Community Hospital,1208 6th Avenue East,Superior,59872-9618,MT,,Non-profit,2022,List of Counties,Mineral,N/A,N/A,"Alcohol and substance abuse, chronic health issues, mental and behavioral health, accidental injury, child abuse and neglect, bullying","Alcohol and substance abuse, chronic health issues, mental and behavioral health, accidental injury, child abuse and neglect, bullying",https://mineralcommunityhospital.com/wp-content/uploads/2023/07/Mineral-Community_Health_Assessment-2022.pdf,N/A,N/A
6810170,Missouri River Medical Center,1501 St Charles Street,Fort Benton,59442-0249,MT,Benefis Health System,Non-profit,2022,List of Counties,Chouteau,N/A,N/A,"Cancer, Obesity, Tobacco use, nutrition and physical activity, mental health, automobile accidents, drug and alcohol abuse, child abuse, diabetes, dental health, heart disease","Cancer, Obesity, Tobacco use, nutrition and physical activity, mental health, automobile accidents, drug and alcohol abuse, child abuse, diabetes, dental health, heart disease",https://www.benefis.org/media/file/CHNA%20Benefis%20Missouri%20River%20Medical%20Center%20-%20draft%20112123.pdf,N/A,N/A
6810545,Montana State Hospital,100 Garnet Way,Warm Springs,59756-9705,MT,,Public,N/A unable to find,,,,,,,,,
6819100,Mountainview Medical Center,16 West Main Street,White Sulphur Springs,59645-9036,MT,,Public,2022,Combination of zip codes and places,N/A,"59645, 59053, 59642","White Sulphur Springs, Martinsdale/Lennep, Ringling","Alcohol/substance abuse, Cancer, Lack of dental care, Access to healthcare and other services, Affordable housing, Good jobs and a healthy economy","Access to healthcare services, Transportation",https://www.mvmc.org/documents/content/WSS_2022_CHNA-Report-FINAL.pdf,https://www.mvmc.org/documents/content/WSS_2022_CHNA-Report-FINAL.pdf,N/A
6810550,North Valley Hospital,1600 Hospital Way,Whitefish,59937-7849,MT,QHR,Non-profit,2021,List of Counties,Flathead ,N/A,N/A,"Access to health care services, cancer, heart disease and stroke, infant health and family planning, injury and violence, mental health, nutrition/physical activity and weight, oral health, potentially disabling conditions, respiratory disease, substance abuse","Mental health and substance abuse, chronic disease management and prevention, access to care, environmental determinants, community resilience",https://www.logan.org/wp-content/uploads/2023/07/2021-PRC-CHNA-Report-Flathead-County-MT.pdf,https://www.logan.org/wp-content/uploads/2023/07/LHMC-LHWF-CHNA-Implementation-Plan-2022-2024-FINAL.pdf,N/A
6810290,Northern Montana Health Care,30 13th Street,Havre,59501-5222,MT,,Non-profit,2020,List of Counties,"Hill, Blaine, Liberty, Philips, Choteau",N/A,N/A,"Illegal Drug Use, Alcohol Abuse, Depression and anxiety, Tobacco Use, Obesity, Prescription Drug Abuse, Diabetes, Cancer, Availablity of Affordable Housing, Suicide","Facility and Community Safety, Employee Retention and Recruitment, Behavioral Health",https://nmhcare.org/wp-content/uploads/2024/02/2023-Hill-County-Community-Health-Needs-Assessment2.pdf,https://nmhcare.org/wp-content/uploads/2021/01/2020-2023-CHNA-CHIP.pdf,N/A
6810125,Northern Rockies Medical Center,802 Second Street SE,Cut Bank,59427-3329,MT,QHR,Non-profit,2019,"Combination of counties, zip codes, and places",Glacier,"59417, 59427, 59411, 59474, 59482, 59484, 59486, 59454, 59434, 59448","Browning, Cut Bank, Babb, Shelby, Sunburst, Sweetgrass, Valier, Kevin, East Glacier Park, Heart Butte","Access to Healthcare Services, Chronic Disease, Injury and Violence, Wellness and Prevention, Behavioral Health","Community Coordination and Collaboration, Health and Wellness, Behavioral Health, Senior Services-Aging in Place",https://drive.google.com/file/d/1PFUmAVYjVgTr_n5ooyjbsXy80CIz686e/view?usp=sharing,https://drive.google.com/file/d/1WMhBDoaJY5AJb68R3lq6p99Z6KChj_16/view?usp=sharing,nrmc_ceo@nrmcinc.org 
