ID,Healthcare_Name,Street_Address,City,Zipcode,State,Associated_Health_System,Hospital Funding Type/Non-Profit Status,CHNA_Year,Service_Area_Type,Service_Area_Zip,Service_Area_Zip,Service_Area_Places,Health_Needs,Health_Priorities,CHNA_URL,Implementation_URL,Contact
6740068,AMG Specialty Hospital,718 Lexington Avenue,San Antonio,78212-4768,TX,AMG Integrated Healthcare Management,Unable to Find,N/A unable to find,,,,,,,,,
6740107,Anson General Hospital,101 Avenue 'J',Anson,79501-2198,TX,,Unable to Find,N/A unable to find,,,,,,,,,
6740242,Arise Austin Medical Center,3003 Bee Caves Road,Austin,78746-5542,TX,,For-Profit,N/A unable to find,,,,,,,,,
6742397,Ascension Seton Edgar B. Davis Hospital,130 Hays Street,Luling,78648-3207,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,"Travis, Williamson, Hays, Bastrop, Burnet, Caldwell, Fayette, Gonzales, Llano, Lee, Blanco",N/A,N/A,"Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity","Chronic Disease, Mental Health and Substance Use, Oral Health",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-chna-ascension-seton-edgar-b-davis.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-edgar-b-davis.pdf,N/A
6740549,Ascension Seton Hays,6001 Kyle Parkway,Kyle,78640-6112,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,"Travis, Williamson, Hays, Bastrop, Burnet, Caldwell, Fayette, Lee, Llano, Gonzales, Blanco",N/A,N/A,"Mental and Behavioral Health, Access to Care, Social Determinants of Health/Social Needs, Health Equity","Mental and Behavioral Health, Access to Care, Social Determinants of Health, Health Equity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-chna-ascension-seton-hays.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-hays.pdf,N/A
6740510,Ascension Seton Highland Lakes,3201 South Water Street,Burnet,78611-4510,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,"Travis, Williamson, Hays, Bastrop, Burnet, Caldwell, Fayette, Gonzales, Llano, Lee, Blanco",N/A,N/A,"Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity","Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-chna-ascension-seton-edgar-b-davis.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-highland-lakes.pdf,N/A
6740200,Ascension Seton Medical Center Austin,1201 West 38th Street,Austin,78705-1006,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,"Bastrop, Blanco, Burnet, Caldwell, Fayette, Gonzales, Hays, Lee, Llano, Travis, Williamson",N/A,N/A,"Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity","Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-chna-ascension-seton-medical-center-austin.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-medical-center-austin.pdf,N/A
6740148,Ascension Seton Northwest,11113 Research Boulevard,Austin,78759-5236,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,"Travis, Williamson, Hays, Bastrop, Burnet, Caldwell, Fayette, Gonzales, Llano, Lee, Blanco",N/A,N/A,"Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity","Mental and Behavioral Health, Access to Care, Social determinants of health, Health Equity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-chna-ascension-seton-northwest.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-northwest.pdf,N/A
6740141,Ascension Seton Shoal Creek,3501 Mills Avenue,Austin,78731-6391,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,Travis,N/A,N/A,"Mental Health,Access to Care, Social Determinants of Health, Health Equity","Access to Healthcare, Mental and Behavioral Health Services",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-shoal-creek.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2018-is-ascension-seton-shoal-creek.pdf,N/A
6743280,Ascension Seton Smithville,1201 Hill Road,Smithville,78957,TX,Ascension Healthcare,Non-Profit,2021,Combination of counties and places,"Travis, Williamson, Hays, Bastrop, Burnet, Caldwell, Llano, Gonzalez, Lee, Fayette, Blanco",N/A,"Austin, Pflugerville, Round Rock, Cedar Park, Georgetown, San Marcos ","Health Outcomes, Social and Economic Factors that Impact Health, Physical Environment, Access to Healthcare, Health Behaviors Disparities","Mental and Health Behavior, Access to Care, Health Equity, Social Determinants of Health/Social Needs",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-smithville.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-smithville.pdf,N/A
6740233,Ascension Seton Southwest,"7900 F M 1826, Building 1",Austin,78737,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,Travis,N/A,N/A,"Mental Health, Access to care, Social Determinants of Health, Health Equity","Mental and Behavioral Health, Access to care, Social Determinants of Health, Health Equity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-southwest.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-southwest.pdf,N/A
6740412,Ascension Seton Williamson,201 Seton Parkway,Round Rock,78665-8000,TX,Ascension Healthcare,Non-Profit,2021,List of Counties,"Travis, Williamson, Hays, Bastrop, Burnet, Caldwell, Fayette, Lee, Llano, Gonzales, Blanco",N/A,N/A,"Mental and Behavioral Health, Access to Care, Social Determinants of Health, Health Equity","Mental and Behavioral Health, Access to Care, Social Determinants of Health, Health Equity",https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-chna-ascension-seton-williamson.pdf,https://healthcare.ascension.org/-/media/healthcare/compliance-documents/texas/2021-is-ascension-seton-williamson.pdf,N/A
6740551,Aspire Hospital,"2006 South Loop 336 West, Suite 500",Conroe,77304-3315,TX,,For-Profit,N/A unable to find,,,,,,,,,
6740652,Atrium Medical Center,11929 West Airport Boulevard,Stafford,77477-2451,TX,,For-Profit,N/A unable to find,,,,,,,,,
6740391,Atrium Medical Center of Corinth,3305 Corinth Parkway,Corinth,76208-5380,TX,,Unable to Find,N/A unable to find,,,,,,,,,
6740021,Austin Lakes Hospital,1025 East 32nd Street,Austin,78705-2714,TX,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6740975,Austin Oaks Hospital,1407 West Stassney Lane,Austin,78745-2947,TX,"Universal Health Services, Inc.",For-Profit,N/A unable to find,,,,,,,,,
6740140,Austin State Hospital,4110 Guadalupe Street,Austin,78751-4296,TX,Texas Department of State Health Services,Public,N/A unable to find,,,,,,,,,
6740226,Ballinger Memorial Hospital,608 Avenue 'B',Ballinger,76821-2499,TX,,Non-Profit,N/A unable to find,,,,,,,,,
6740937,Baptist Emergency Hospital,16088 San Pedro,San Antonio,78232-2249,TX,Emerus,Non-Profit,N/A unable to find,,,,,,,,,
6740091,Baptist Hospitals of Southeast Texas,3080 College Street,Beaumont,77701-4689,TX,Community Hospital Corporation,Non-Profit,2022,List of Counties,"Jefferson, Orange",N/A,N/A,"Prevention, Education and Services to Address High Mortality Rates; Chronic Diseases; Preventable Conditions and Unhealthy Lifestyles; Access to Affordable Care and Reducing Health Disparities Among Specific Populations; Access to Mental and Behavioral Health Care Services and Providers; Need for Increased Emphasis on Sex Education and Communicable Disease Prevention; Access to Specialty Care Services and Providers; Access to Affordable Dental Care Services and Providers; Need for Improved Availability of Safe; Affordable Housing","Prevention, Education and Services to Address High Mortality Rates; Chronic Diseases; Preventable Conditions and Unhealthy Lifestyles; Access to Mental and Behavioral Health Care Services and Providers; Access to Primary and Specialty Care Services and Providers; Increased Emphasis on Education and Awareness of Existing Health Care Resources; Continued Focus on COVIDâ€19 Prevention & Response",https://www.bhset.net/documents/BHSET-CHNA-2022-CHNA-and-Implementation-Plan-Report-FINAL-March-2022.pdf,https://www.bhset.net/documents/BHSET-CHNA-2022-CHNA-and-Implementation-Plan-Report-FINAL-March-2022.pdf,stephanie.harris@bhset.net
6740415,Baptist Medical Center,111 Dallas Street,San Antonio,78205-1230,TX,TENET Healthcare Corporation,For-Profit,N/A,N/A,,,,,,,,
6741616,Baylor Medical Center at Garland,2300 Marie Curie Drive,Garland,75042-5706,TX,Baylor Scott & White Health,N/A,N/A,N/A,,,,,,,,
6740656,Baylor Orthopedic and Spine Hospital at Arlington,707 Highlander Boulevard,Arlington,76015-4319,TX,,Non-Profit,2022,List of Counties,"Johnson,Tarrant",N/A,N/A,"Children uninsured,Emergency department use rate,Access to primary healthcare providers,Mentally unhealthy days,Affordable housing.","Children Uninsured,Emergency Department Use Rate,Access to Primary Healthcare Providers.",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/Southeast-Tarrant-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/southeast-tarrant-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org
6741390,Baylor Scott & White All Saints Medical Center - Fort Worth,1400 Eighth Avenue,Fort Worth,76104-4192,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Hood,Johnson,Parker,Tarrant",N/A,N/A,"Access to Healthy Food/Food Insecurity,Access to Mental Healthcare Providers/Behavioral Healthcare Services.","Access to Healthy Food/Food Insecurity,Access to Mental Healthcare Providers/Behavioral Healthcare Services,Uninsured/Underinsured/Poverty,Adult and Child Obesity,Lack of Appropriate Transportation,Physical Inactivity/Physically Unhealthy Days,Access to Healthcare Providers(Primary care and Dental).",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/West-Fort-Worth-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/westfw-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org
6740403,Baylor Scott & White Continuing Care Hospital-Temple,546 North Kegley Road,Temple,76502-4069,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Bell,Coryell",N/A,N/A,"Obesity/Physical Inactivity,Access to Mental Healthcare (Providers andRresources),Health Literacy,Access to Primary Healthcare Providers,Food Insecurity/Limited Access to Healthy Food,Access to Care Insurance.","Obesity/Physical Inactivity,Access to Primary Healthcare Providers,Access to Care,Insurance.",https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/chna-2022/temple-region-2022-chna-report-printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/temple-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org
6741071,Baylor Scott & White Emergency Hospital - Rockwall,1975 Alpha Drive Suite 100,Rockwall,75087-4951,TX,Emerus,Non-Profit,2022,List of Counties,"Collin,Denton,Rockwall,Tarrant",N/A,N/A,"Mental Health, Access to Care,Enviornment,Disease Incidence,Emergency Department Utilization,Hypertension,Cancer,Health Professional Shortages.","Depression/Social Isolation, Mentally Unhealthy Days,Access to Primary Healthcare,Hypertension,Medicare Population-Emergency Department Utilization.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/north-west-emergency-2022-chna-report.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2020/lake-pointe-rockwall.pdf,CommunityHealth@BSWHealth.org
6741072,Baylor Scott & White Emergency Hospital â€“ Burleson,12500 South Freeway Suite 100,Burleson,76028-7128,TX,Emerus,Non-Profit,2022,List of Counties,"Tarrant,Johnson",N/A,N/A,"Children Uninsured,Emergency Department Use Rate,Access to Primary Healthcare Providers,Mentally Unhealthy Days,Affordable Housing.","Children Uninsured,Emergency Department Use Rate,Access to Primary Healthcare Providers.",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/Southeast-Tarrant-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/southeast-tarrant-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org
6740914,Baylor Scott & White Emergency Hospitalâ€“Aubrey,26791 Highway 380,Aubrey,76227,TX,Emerus,Non-Profit,2022,List of Counties,"Collin,Denton,Rockwall,Tarrant",N/A,N/A,"Depression/Social Isolation,Mentally Unhealthy Days,Access to Primary Healthcare, Hypertension,Medicare population - Emergency Department Utilization.","Access to Primary Healthcare,Medicare Population-Emergency Department Utilization.",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/North-and-West-Emergency-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/nw-emergency-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org
6740976,Baylor Scott & White Emergency Medical Center- Cedar Park,900 East Whitestone Boulevard,Cedar Park,78613-9093,TX,Baylor Scott & White Health,Non-Profit,2019,List of Counties,"Williamson,Travis,Hays",N/A,N/A,"Access to PCP,Accidental Poisoning Deaths Where Opioids Were Involved,Ratio of Population to One Non-Physician Primary Care Provider,Intentional Self-Harm, Suicide,Severe Housing Problems.","Ratio of Population to One Physician Primary Care Provider,Accidental Poisoning Where Opioids Were Involved,Ratio of Population to One Non-Physician Primary Care Giver,Intentional Self-Harm,Suicide.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2019/FINAL_CHNA_WILLIAMSON_TRAVIS_HAYS.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2020/williamson-travis-hays.pdf,CommunityHealth@BSWHealth.org 
6740254,Baylor Scott & White Heart & Vascular Hospital-Dallas,"621 North Hall Street, Suite 150",Dallas,75226-1339,TX,,Non-Profit,2022,List of Counties,"Collin,Dallas,Ellis,Henderson,Hunt,Kaufman,Navarro,Rockwall,Tarrant,Van Zandt",N/A,N/A,"Obesity/Physical Inactivity,Diabetes,Access to Primary Healthcare,Gaps in Behavioral Health/Substance Abuse Services,Access to Mental Healthcare (Providers/Services),Food insecurity/Access to Healthy Food, Infant Mortality Rate, Transportation.","Obesity/Physical Inactivity, Diabetes,Access to Primary Healthcare,Gaps in Behavioral Health/Substance Abuse Services,Access to Mental Healthcare(Providers/Resources),Transportation.",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/Dallas-Metro-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/dallas-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org 
6740425,Baylor Scott & White Hospital Medical Center - Brenham,700 Medical Parkway,Brenham,77833-5498,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Austin,Brazos,Burleson,Grimes,Robertson,Waller,Washington",N/A,N/A,"Access to Mental Healthcare, Access to Primary Care,Obesity,Population Under 65 without Health Insurance,Transportation.","Access to Primary Care,Obesity.",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/Brazos-Valley-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/brazosvalley-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org.
6740879,Baylor Scott & White Hospital Medical Center - College Station,700 Scott & White Drive,College Station,77845,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Austin,Brazos,Burleson,Grimes,Robertson,Waller,Washington",N/A,N/A,"Chronic Disease Management/Education,Access to Mental Healthcare (Providers/Resources),Access to Primary Care, Obesity,Population Under 65 without Health Insurance,Transportation. ","Chronic Disease Management/Education,Access to Mental Healthcare (Providers/Resources),Access to Primary Care,Obesity,Population Under 65 without Health Insurance,Transportation.",https://www.bswhealth.com/-/media/Project/BSW/Sites/BSWHealth/Documents/about/community-health-needs-assessments/CHNA-2022/Brazos-Valley-2022-CHNA-Report-Printable.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/brazosvalley-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org.
6740915,Baylor Scott & White Institute for Rehabilitation - Dallas,909 North Washington Avenue,Dallas,75246-1520,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Collin,Dallas,Ellis,Henderson,Hunt,Kaufman,Navarro,Rockwall,Tarrant,Van Zandt",N/A,N/A,"Obesity/physical inactivity,Diabetes, Access to primary healthcare,Gaps in Behavioral Health/Substance Abuse Services,Access to Mental Healthcare,Food Insecurity/Access to Healthy Food,Infant Mortality Rate,Transportation.","Obesity/Physical Inactivity,Diabetes, Access to Primary Healthcare,Gaps in Behavioral Health/Substance Abuse Services,Access to Mental Healthcare,Food Insecurity/Access to Healthy Food,Infant Mortality Rate,Transportation.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/dallas-metro-2022-chna-report.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/dallas-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org 
6741008,Baylor Scott & White Institute for Rehabilitation - Lakeway,2000 Medical Drive,Lakeway,78734-4200,TX,Baylor Scott & White Health,Non-Profit,2022,Combination of counties and places,"Hays,Milam,Travis,Williamson",N/A,"Austin, Buda,Pflugerville,Roundrock, Taylor","Preventive Screenings,Access to Primary Healthcare Providers,Obesity,Access to Mental Healthcare,Severe Housing Problems,Digital Divide.","Preventive Screening,Access to Primare Healthcare,Obesity,Access to Mental Healthcare,Severe Housing Problems,Digital Divide.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/greater-austin-region-2022-chna-report.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/greater-austin-region-2022-chna-report.pdf,CommunityHealth@BSWHealth.org 
6740667,Baylor Scott & White Institute for Rehabilitation-Fort Worth,6601 Harris Parkway,Fort Worth,76132-6108,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Hood,Johnson,Parker,Tarrant",N/A,N/A," Access to Healthy Food/Food Insecurity,Access to Mental Healthcare Providers/Behavioral Healthcare Services,Uninsured/Underinsured/Poverty,Adult and Child Obesity,Lack of Appropriate Transportation,Physical Inactivity/Physical Unhealthy Days,Access to Healthcare Providers (Primary Care and Dental).","Access to Healthy Food/Food Insecurity,Access to Mental Healthcare Providers/Behavioral Healthcare Services,Uninsured/Underinsured/Poverty,Adult and Child Obesity,Lack of Appropriate Transportation,Physical Inactivity/Physical unhealthy days,Access to Healthcare Providers(Primary care and Dental). ",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/greater-austin-region-2022-chna-report.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/greater-austin-region-2022-chna-report.pdf,CommunityHealth@BSWHealth.org 
6740663,Baylor Scott & White Institute for Rehabilitation-Frisco,2990 Legacy Drive,Frisco,75034-6066,TX,Select Medical Corporation,Non-Profit,2022,List of Counties,"Collin,Denton",N/A,N/A,"Access to Mental Health,Mentally Unhealthy/Depression/Social Isolation,Access to Primary Care,Diabetes,Obesity,Female Breast Cancer.","Access to Mental Health,Mentally Unhealthy/Depression/Social Isolation,Access to Primary Care,Diabetes/Obesity,Female Breast Cancer.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/frisco-2022-chna-report.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2020/frisco.pdf,N/A
6740576,Baylor Scott & White Medical Center - Carrollton,4343 North Josey Lane,Carrollton,75010-4691,TX,Baylor Scott & White Health,Non-Profit,2019,Combination of counties and zip codes,"Collin, Dallas, Denton","75033, 75034, 75035, 75068, 76227, 76258, 75006, 75007, 75008, 75010, 75011, 75027,75029, 75057, 75065, 75067,75234, 75381, 75056, 75022,75028, 75077, 75001, 75240, 75248, 75252, 75254,75287, 75294, 75370, 7538,75391.",N/A,"Access to Care, Mental Health, Health Behaviors: Substance Abuse","Access to Care,Mental Health,Health Behaviors-Substance Abuse.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2020/carrollton.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2020/carrollton.pdf,CommunityHealth@BSWHealth.org.
6740257,Baylor Scott & White Medical Center - Centennial,12505 Lebanon Road,Frisco,75035-8298,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Collin,Denton",N/A,N/A,"Access to Mental Health, Mentally Unhealthy/Depression/Social Isolation, Access to Primary Care, Diabetes, Obesity, Female Breast Cancer","Access to Mental Health, Mentally Unhealthy/Depression/Social Isolation, Access to Primary care, Diabetes/Obesity, Female Breast Cancer",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/frisco-2022-chna-report.pdf,https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/frisco-2022-chna-report.pdf,CommunityHealth@BSWHealth.org.
6741739,Baylor Scott & White Medical Center - Grapevine,1650 West College Street,Grapevine,76051-3565,TX,Baylor Scott & White Health,Non-Profit,2022,List of Counties,"Dallas,Denton,Tarrant",N/A,N/A," Diabetes,Access to Healthcare,Depression/Social Isolation,Emergency Department Utilization,Mentally Unhealthy Days/Coping Mechanisms,Income Inequality.","Diabetes,Access to Healthcare,Depression/Social Isolation,Emergency Department Utilization.",https://www.bswhealth.com/SiteCollectionDocuments/about/community-health-needs-assessments/CHNA-2022/grapevine-2022-chna-report.pdf,https://www.bswhealth.com/-/media/project/bsw/sites/bswhealth/documents/about/community-health-needs-assessments/implementation-2022/grapevine_trophy-club-chna-implementation-plan-bid-final.pdf,CommunityHealth@BSWHealth.org.
